task_id,condition,source,draws,passed,missing,pass_rate,lower,upper
atcoder/abc377_b,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc377_b,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc377_b,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc377_b,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc377_b,P,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3832,FIXED_M,secondary_training_seed,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
leetcode/3832,ROTATING_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3832,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3832,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3832,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3832,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3832,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3832,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc391_e,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc391_e,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
